Year	W	L	T	Bowl
2018	9	4	0	Outback Bowl-W
2017	8	5	0	Pinstripe Bowl-W
2016	8	5	0	Outback Bowl-L
2015	12	2	0	Rose Bowl-L
2014	7	6	0	TaxSlayer Bowl-L
2013	8	5	0	Outback Bowl-L
2012	4	8	0	
2011	7	6	0	Insight Bowl-L
2010	8	5	0	Insight Bowl-W
2009	11	2	0	Orange Bowl-W
2008	9	4	0	Outback Bowl-W
2007	6	6	0	
2006	6	7	0	Alamo Bowl-L
2005	7	5	0	Outback Bowl-L
2004	10	2	0	Capital One Bowl-W
2003	10	3	0	Outback Bowl-W
2002	11	2	0	Orange Bowl-L
2001	7	5	0	Alamo Bowl-W
2000	3	9	0	
1999	1	10	0	
1998	3	8	0	
1997	7	5	0	Sun Bowl-L
1996	9	3	0	Alamo Bowl-W
1995	8	4	0	Sun Bowl-W
1994	5	5	1	
1993	6	6	0	Alamo Bowl-L
1992	5	7	0	
1991	10	1	1	Holiday Bowl-T
1990	8	4	0	Rose Bowl-L
1989	5	6	0	
1988	6	4	3	Peach Bowl-L
1987	10	3	0	Holiday Bowl-W
1986	9	3	0	Holiday Bowl-W
1985	10	2	0	Rose Bowl-L
1984	8	4	1	Freedom Bowl-W
1983	9	3	0	Gator Bowl-L
1982	8	4	0	Peach Bowl-W
1981	8	4	0	Rose Bowl-L
1980	4	7	0	
1979	5	6	0	
1978	2	9	0	
1977	4	7	0	
1976	5	6	0	
1975	3	8	0	
1974	3	8	0	
1973	0	11	0	
1972	3	7	1	
1971	1	10	0	
1970	3	6	1	
1969	5	5	0	
1968	5	5	0	
1967	1	8	1	
1966	2	8	0	
1965	1	9	0	
1964	3	6	0	
1963	3	3	2	
1962	4	5	0	
1961	5	4	0	
1960	8	1	0	
1959	5	4	0	
1958	8	1	1	Rose Bowl-W
1957	7	1	1	
1956	9	1	0	Rose Bowl-W
1955	3	5	1	
1954	5	4	0	
1953	5	3	1	
1952	2	7	0	
1951	2	5	2	
1950	3	5	1	
1949	4	5	0	
1948	4	5	0	
1947	3	5	1	
1946	5	4	0	
1945	2	7	0	
1944	1	7	0	
1943	1	6	1	
1942	6	4	0	
1941	3	5	0	
1940	4	4	0	
1939	6	1	1	
1938	1	6	1	
1937	1	7	0	
1936	3	4	1	
1935	4	2	2	
1934	2	5	1	
1933	5	3	0	
1932	1	7	0	
1931	1	6	1	
1930	4	4	0	
1929	4	2	2	
1928	6	2	0	
1927	4	4	0	
1926	3	5	0	
1925	5	3	0	
1924	6	1	1	
1923	5	3	0	
1922	7	0	0	
1921	7	0	0	
1920	5	2	0	
1919	5	2	0	
1918	6	2	1	
1917	3	5	0	
1916	4	3	0	
1915	3	4	0	
1914	4	3	0	
1913	5	2	0	
1912	4	3	0	
1911	3	4	0	
1910	5	2	0	
1909	2	4	1	
1908	2	5	0	
1907	3	2	0	
1906	2	3	0	
1905	8	2	0	
1904	7	4	0	
1903	9	2	0	
1902	5	4	0	
1901	6	3	0	
1900	7	0	1	
